Date,Close,High,Low,Open,Volume,Daily Close Chg%,Monthly Close Chg%,Year Close Chg%
2013-01-02,873.4199829101562,873.989990234375,849.3499755859375,849.3499755859375,4202600000.0,,,
2013-01-03,872.5999755859375,878.4299926757812,870.760009765625,873.8300170898438,3829730000.0,-0.09388465346150676,,
2013-01-04,879.1500244140625,880.469970703125,873.1900024414062,873.1900024414062,3424290000.0,0.7506359169591637,,
2013-01-07,875.7999877929688,876.7100219726562,873.739990234375,876.3400268554688,3304970000.0,-0.3810540326523282,,
2013-01-08,874.7000122070312,876.3200073242188,871.010009765625,875.9099731445312,3601600000.0,-0.1255966660503649,,
2013-01-09,879.510009765625,879.5399780273438,877.010009765625,877.4500122070312,3674390000.0,0.5499025370375055,,
2013-01-10,881.239990234375,883.1900024414062,876.5800170898438,883.0399780273438,4081840000.0,0.1966982125889638,,
2013-01-11,880.77001953125,882.6199951171875,877.4400024414062,882.6099853515625,3340650000.0,-0.053330614626334594,,
2013-01-14,880.0999755859375,880.97998046875,877.5599975585938,879.7100219726562,3003010000.0,-0.07607479029192454,,
2013-01-15,884.5999755859375,884.8400268554688,875.4199829101562,876.219970703125,3135350000.0,0.5113055476457795,,
2013-01-16,882.3099975585938,883.7000122070312,881.02001953125,882.8400268554688,3384080000.0,-0.2588715906109873,,
2013-01-17,890.3599853515625,891.0,885.280029296875,885.280029296875,3706710000.0,0.9123763547101982,,
2013-01-18,892.7999877929688,892.7999877929688,888.260009765625,889.739990234375,3795740000.0,0.2740467318331774,,
2013-01-22,899.239990234375,899.239990234375,891.0800170898438,892.72998046875,3570950000.0,0.7213264481920723,,
2013-01-23,896.7000122070312,899.530029296875,896.219970703125,899.4400024414062,3552010000.0,-0.2824583042266293,,
2013-01-24,900.1900024414062,904.27001953125,896.3400268554688,896.5599975585938,3699430000.0,0.38920376791176103,,
2013-01-25,905.239990234375,905.239990234375,900.0999755859375,902.3699951171875,3476290000.0,0.5609913217512696,,
2013-01-28,906.7100219726562,907.9099731445312,900.8800048828125,905.9500122070312,3388540000.0,0.16239138285314425,,
2013-01-29,907.3099975585938,907.3099975585938,902.6199951171875,905.72998046875,3949640000.0,0.06617061369105226,,
2013-01-30,896.9099731445312,906.7000122070312,894.3400268554688,906.2899780273438,3726810000.0,-1.1462481888270926,,
2013-01-31,902.0900268554688,902.9000244140625,895.75,897.02001953125,3999880000.0,0.5775444432596144,,
2013-02-01,911.2000122070312,912.760009765625,905.3900146484375,905.5900268554688,3836320000.0,1.0098754093666562,,
2013-02-04,899.280029296875,911.1799926757812,898.3599853515625,911.1799926757812,3390000000.0,-1.3081631640110114,,
2013-02-05,908.219970703125,909.6099853515625,902.3800048828125,902.4099731445312,3618360000.0,0.9941220882265123,,
2013-02-06,911.2899780273438,911.4500122070312,903.760009765625,904.6699829101562,3611570000.0,0.33802464416654576,,
2013-02-07,908.0999755859375,911.489990234375,902.8200073242188,910.9099731445312,3614580000.0,-0.350053497604752,,
2013-02-08,913.6699829101562,914.1500244140625,909.1699829101562,909.1699829101562,2986150000.0,0.6133693947766972,,
2013-02-11,913.030029296875,913.5599975585938,910.219970703125,913.5499877929688,2684100000.0,-0.07004209673638906,,
